clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,1,2,3,4,5,6,index
cl58_i81_Tmem255a_Sst,0.642570281,11668,10,49,32,3,Lgals1,Lypd6,Timp3,nan,nan,nan,cl58_i81_Tmem255a_Sst&Lgals1>=10.761922836303711&Lypd6>=8.382619857788086&Timp3>=5.768289566040039
cl5_i231_Nov_Vip,0.85380117,11518,10,85,146,2,Cxcl14,Nov,nan,nan,nan,nan,cl5_i231_Nov_Vip&Cxcl14>=9.849603652954102&Nov>=9.379728317260742
cl61_e77_Mir221_L6_IT,0.67357513,11679,3,51,26,4,Bdnf,Cdh9,Nptx2,Pcsk1,nan,nan,cl61_e77_Mir221_L6_IT&Bdnf>=9.73509407043457&Cdh9>=6.728021621704102&Nptx2>=7.898431777954102&Pcsk1>=8.193739891052246
cl62_e76_Apaf1_L23_IT,0.614754098,11671,12,46,30,3,Gsta4,Neurod1,Nov,nan,nan,nan,cl62_e76_Apaf1_L23_IT&Gsta4>=8.147567749023438&Neurod1>=5.43281364440918&Nov>=8.312604904174805
cl63_i73_Tac2_Vip,0.578034682,11681,5,53,20,3,Adra1b,Penk,Vip,nan,nan,nan,cl63_i73_Tac2_Vip&Adra1b>=8.071273803710938&Penk>=12.803786277770996&Vip>=15.737524032592773
cl65_i72_Tmem223_Lamp5,0.443925234,11636,51,34,38,3,Cxcl14,Fgf13,Lamp5,nan,nan,nan,cl65_i72_Tmem223_Lamp5&Cxcl14>=9.706888198852539&Fgf13>=8.689737319946289&Lamp5>=10.765273094177246
cl66_e71_Serpinb11_L6b,0.922509225,11688,0,21,50,3,Cplx3,Ctgf,Ptn,nan,nan,nan,cl66_e71_Serpinb11_L6b&Cplx3>=10.688610076904297&Ctgf>=9.053634643554688&Ptn>=10.58841609954834
cl69_e70_Depdc7_L5_PT,0.821167883,11683,6,25,45,4,Fezf2,Lamp5,Pantr1,Sema3c,nan,nan,cl69_e70_Depdc7_L5_PT&Fezf2>=7.713873386383057&Lamp5>=9.889442443847656&Pantr1>=7.194208145141602&Sema3c>=3.0044398307800293
cl6_e204_Exosc4_L23_IT,0.479828851,11354,201,47,157,4,Calb1,Igfbp7,Lamp5,Tesc,nan,nan,cl6_e204_Exosc4_L23_IT&Calb1>=8.791211128234863&Igfbp7>=4.1269941329956055&Lamp5>=9.305765151977539&Tesc>=6.718398094177246
cl70_e70_Abca12_L5_NP,0.620155039,11674,15,38,32,2,Cbln2,Fezf2,nan,nan,nan,nan,cl70_e70_Abca12_L5_NP&Cbln2>=7.105426788330078&Fezf2>=8.318763732910156
cl71_e68_Mir153_L23_IT,0.75,11690,1,41,27,2,Nefl,Pcdh8,nan,nan,nan,nan,cl71_e68_Mir153_L23_IT&Nefl>=10.238174438476562&Pcdh8>=7.820163249969482
cl72_i68_Bach2_Lamp5,0.355392157,11635,56,39,29,5,Atp6ap1l,Cox6a2,Cplx3,Npy,Reln,nan,cl72_i68_Bach2_Lamp5&Atp6ap1l>=7.779234886169434&Cox6a2>=3.947977066040039&Cplx3>=9.080877304077148&Npy>=11.698102951049805&Reln>=9.356260299682617
cl74_e68_Napsa_L6b,0.777777778,11691,0,40,28,4,Crym,Ctgf,Igsf21,Spon1,nan,nan,cl74_e68_Napsa_L6b&Crym>=5.132148742675781&Ctgf>=7.230378150939941&Igsf21>=7.917398929595947&Spon1>=5.840808868408203
cl76_e66_Pou2f2_L6_IT,0.291878173,11634,59,43,23,6,Ano3,Atp2b4,Cd34,Col6a1,Igsf21,Tesc,cl76_e66_Pou2f2_L6_IT&Ano3>=7.939823150634766&Atp2b4>=7.3922576904296875&Cd34>=7.185055255889893&Col6a1>=7.1568098068237305&Igsf21>=6.833804607391357&Tesc>=7.697199821472168
