clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,1,2,3,4,5,6,index
cl167_e33_Efcc1_L6_CT,0.52,11716,10,20,13,6,Dmkn,Fezf2,Foxp2,Sulf1,Syt10,Syt6,cl167_e33_Efcc1_L6_CT&Dmkn>=0.6091238856315613&Fezf2>=6.147755146026611&Foxp2>=6.187625885009766&Sulf1>=0.6519200205802917&Syt10>=2.193027973175049&Syt6>=5.4382805824279785
cl169_i32_Wif1_Pvalb,0.681818182,11720,7,14,18,3,Penk,Prss23,Pvalb,nan,nan,nan,cl169_i32_Wif1_Pvalb&Penk>=5.998774528503418&Prss23>=8.01357364654541&Pvalb>=5.9221954345703125
cl16_n148_Cml3_Astro,0.542035398,11584,27,99,49,2,Daam2,Unc13c,nan,nan,nan,nan,cl16_n148_Cml3_Astro&Daam2>=7.537415504455566&Unc13c>=7.619784355163574
cl170_i32_Rps27rt_Vip,0.267857143,11724,3,29,3,2,Npas1,Prr16,nan,nan,nan,nan,cl170_i32_Rps27rt_Vip&Npas1>=7.488454818725586&Prr16>=8.373943328857422
cl172_e31_Htr6_L6_IT,0.305343511,11711,17,23,8,6,Blnk,C1ql3,Ccdc80,Col25a1,Itgb8,Osr1,cl172_e31_Htr6_L6_IT&Blnk>=7.632936000823975&C1ql3>=5.838916301727295&Ccdc80>=3.3341193199157715&Col25a1>=4.103180885314941&Itgb8>=1.2460112571716309&Osr1>=1.0898241996765137
cl174_e30_Zfp433_L4,0.206896552,11676,53,18,12,4,Pou3f1,Prdm8,Prr16,Rspo1,nan,nan,cl174_e30_Zfp433_L4&Pou3f1>=3.3099615573883057&Prdm8>=4.96919059753418&Prr16>=6.478394031524658&Rspo1>=7.722020626068115
cl177_n30_Slc8b1_Astro,0.25974026,11706,23,22,8,5,Aqp4,Bmpr1b,Daam2,Rorb,Unc13c,nan,cl177_n30_Slc8b1_Astro&Aqp4>=1.1999590396881104&Bmpr1b>=6.491820335388184&Daam2>=8.200769424438477&Rorb>=4.099339485168457&Unc13c>=6.661260604858398
cl178_i30_Sesn3_Lamp5,0.465116279,11723,6,22,8,4,Asic4,Cdh20,Reln,Timp3,nan,nan,cl178_i30_Sesn3_Lamp5&Asic4>=4.27883243560791&Cdh20>=5.108420372009277&Reln>=10.547198295593262&Timp3>=4.985939979553223
cl179_e29_Cldn23_L5_PT,0.617283951,11727,3,19,10,5,Blnk,Fezf2,Kcng1,Pou3f1,Tmem163,nan,cl179_e29_Cldn23_L5_PT&Blnk>=2.0835330486297607&Fezf2>=7.897382736206055&Kcng1>=6.611313819885254&Pou3f1>=5.3540215492248535&Tmem163>=5.69112491607666
cl17_e147_Gng12_L6_CT,0.606060606,11585,27,87,60,5,5730522E02Rik,Fezf2,Foxp2,Meis2,Prss23,nan,cl17_e147_Gng12_L6_CT&5730522E02Rik>=4.004576683044434&Fezf2>=5.711697578430176&Foxp2>=6.772565841674805&Meis2>=2.589761734008789&Prss23>=4.723138809204102
cl180_i29_Nr1h4_Sncg,0.779220779,11730,0,17,12,2,Slc17a8,Sncg,nan,nan,nan,nan,cl180_i29_Nr1h4_Sncg&Slc17a8>=8.733028411865234&Sncg>=4.332845211029053
cl181_e28_Nfkbid_L23_IT,0.480769231,11722,9,18,10,3,Nr4a2,Otof,Tnfaip6,nan,nan,nan,cl181_e28_Nfkbid_L23_IT&Nr4a2>=6.262134552001953&Otof>=3.5808215141296387&Tnfaip6>=9.756115913391113
cl182_i28_Snord42b_Pvalb,0.375,11731,0,25,3,2,Il1rapl2,Pvalb,nan,nan,nan,nan,cl182_i28_Snord42b_Pvalb&Il1rapl2>=7.968932151794434&Pvalb>=10.681570053100586
cl184_n28_Pf4_Macrophage,1,11731,0,0,28,1,Mrc1,nan,nan,nan,nan,nan,cl184_n28_Pf4_Macrophage&Mrc1>=10.045554161071777
cl185_i27_Slc4a7_Pvalb,0.256410256,11731,1,25,2,2,Nnmt,Tcap,nan,nan,nan,nan,cl185_i27_Slc4a7_Pvalb&Nnmt>=7.989424705505371&Tcap>=7.176932334899902
cl186_e26_Zfp882_L4,0.12195122,11647,86,16,10,5,Ccdc3,Pou3f1,Prdm8,Rorb,Rspo1,nan,cl186_e26_Zfp882_L4&Ccdc3>=3.048123836517334&Pou3f1>=3.1385016441345215&Prdm8>=5.014255046844482&Rorb>=7.527015686035156&Rspo1>=4.035582542419434
cl187_e26_Teddm2_L6_CT,0.384615385,11717,16,16,10,5,Fezf2,Meis2,Prss23,Pxdc1,Syt6,nan,cl187_e26_Teddm2_L6_CT&Fezf2>=7.097044944763184&Meis2>=5.993481636047363&Prss23>=4.473997116088867&Pxdc1>=0.6473448276519775&Syt6>=5.0190582275390625
cl188_i26_Cgn_Pvalb,0.303030303,11727,6,22,4,3,Cemip,Nnmt,Tcap,nan,nan,nan,cl188_i26_Cgn_Pvalb&Cemip>=5.472685813903809&Nnmt>=5.200134754180908&Tcap>=8.617889404296875
cl189_e26_C1ql2_L5_PT,0.576923077,11729,4,17,9,3,Fam84b,Fosb,Tmem163,nan,nan,nan,cl189_e26_C1ql2_L5_PT&Fam84b>=2.9600930213928223&Fosb>=5.846292495727539&Tmem163>=6.151307106018066
cl18_i146_Car4_Vip,0.441176471,11578,35,107,39,3,Cd24a,Pxdc1,Vip,nan,nan,nan,cl18_i146_Car4_Vip&Cd24a>=5.888296127319336&Pxdc1>=6.605913162231445&Vip>=13.12606430053711
cl190_e26_Cdh15_L5_PT,0.6,11733,0,20,6,4,Adamts2,Ccdc3,Fam84b,Kcng1,nan,nan,cl190_e26_Cdh15_L5_PT&Adamts2>=1.035780668258667&Ccdc3>=0.6072713136672974&Fam84b>=5.179394245147705&Kcng1>=3.5907530784606934
cl191_e26_Chadl_L6_IT,0.306122449,11721,12,20,6,5,Blnk,Ccdc80,Fst,Rxfp1,Sulf1,nan,cl191_e26_Chadl_L6_IT&Blnk>=0.6032401323318481&Ccdc80>=5.404194355010986&Fst>=4.344693183898926&Rxfp1>=5.477242469787598&Sulf1>=0.5464747548103333
cl192_i26_Trim71_Sst,0.462962963,11731,2,21,5,2,Moxd1,Nnmt,nan,nan,nan,nan,cl192_i26_Trim71_Sst&Moxd1>=8.130332946777344&Nnmt>=7.318285942077637
cl196_e24_Zfp781_L4,0.416666667,11729,6,18,6,5,Chrm2,Pou3f1,Prdm8,Rorb,Tox,nan,cl196_e24_Zfp781_L4&Chrm2>=5.506326675415039&Pou3f1>=3.3181591033935547&Prdm8>=5.221033096313477&Rorb>=7.705155372619629&Tox>=5.9365410804748535
